"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1997	3	17	116	11332	"J01"
1997	4	18	123	11150	"J01"
1997	5	19	130	11266	"J01"
1997	6	20	137	11653	"J01"
1997	7	21	144	12023	"J01"
1997	8	22	151	12241	"J01"
1997	9	23	158	12255	"J01"
1997	10	24	165	12279	"J01"
1997	11	25	172	13059	"J01"
1997	12	26	179	14512	"J01"
1997	13	27	186	14837	"J01"
1997	14	28	193	15162	"J01"
1997	15	29	200	15388	"J01"
1997	16	30	207	15259	"J01"
1997	17	31	214	15119	"J01"
1997	18	32	221	15016	"J01"
1997	19	33	228	14962	"J01"
1997	20	34	235	15081	"J01"
1997	21	35	242	15150	"J01"
1997	22	36	249	14976	"J01"
1997	23	37	256	14734	"J01"
1997	24	38	263	14474	"J01"
1997	25	39	270	14214	"J01"
1997	26	40	277	13563	"J01"
1997	27	41	284	12882	"J01"
1997	28	42	291	13223	"J01"
1998	1	15	102	11737	"J01"
1998	2	16	109	11666	"J01"
1998	3	17	116	11668	"J01"
1998	4	18	123	11670	"J01"
1998	5	19	130	11805	"J01"
1998	6	20	137	12426	"J01"
1998	7	21	144	13401	"J01"
1998	8	22	151	14236	"J01"
1998	9	23	158	14474	"J01"
1998	10	24	165	14703	"J01"
1998	11	25	172	15070	"J01"
1998	12	26	179	15375	"J01"
1998	13	27	186	15348	"J01"
1998	14	28	193	14983	"J01"
1998	15	29	200	14365	"J01"
1998	16	30	207	14547	"J01"
1998	17	31	214	14742	"J01"
1998	18	32	221	14866	"J01"
1998	19	33	228	14393	"J01"
1998	20	34	235	13493	"J01"
1998	21	35	242	12490	"J01"
1998	22	36	249	12304	"J01"
1998	23	37	256	12568	"J01"
1998	24	38	263	13083	"J01"
1998	25	39	270	13598	"J01"
1998	26	40	277	12880	"J01"
1998	27	41	284	12217	"J01"
1998	28	42	291	12261	"J01"
1999	1	14	95	12367	"J01"
1999	2	15	102	12350	"J01"
1999	3	16	109	12302	"J01"
1999	4	17	116	12253	"J01"
1999	5	18	123	12248	"J01"
1999	6	19	130	12814	"J01"
1999	7	20	137	13299	"J01"
1999	8	21	144	13737	"J01"
1999	9	22	151	14177	"J01"
1999	10	23	158	14358	"J01"
1999	11	24	165	14358	"J01"
1999	12	25	172	14219	"J01"
1999	13	26	179	14267	"J01"
1999	14	27	186	14366	"J01"
1999	15	28	193	14465	"J01"
1999	16	29	200	14604	"J01"
1999	17	30	207	14709	"J01"
1999	18	31	214	14754	"J01"
1999	19	32	221	14651	"J01"
1999	20	33	228	14348	"J01"
1999	21	34	235	13856	"J01"
1999	22	35	242	13773	"J01"
1999	23	36	249	13688	"J01"
1999	24	37	256	13547	"J01"
1999	25	38	263	12687	"J01"
1999	26	39	270	12164	"J01"
1999	27	40	277	11749	"J01"
1999	28	41	284	11041	"J01"
2000	1	14	95	9924	"J01"
2000	2	15	102	10711	"J01"
2000	3	16	109	11150	"J01"
2000	4	17	116	11222	"J01"
2000	5	18	123	10651	"J01"
2000	6	19	130	11059	"J01"
2000	7	20	137	11723	"J01"
2000	8	21	144	12367	"J01"
2000	9	22	151	12158	"J01"
2000	10	23	158	12209	"J01"
2000	11	24	165	12984	"J01"
2000	12	25	172	13760	"J01"
2000	13	26	179	14128	"J01"
2000	14	27	186	14111	"J01"
2000	15	28	193	14376	"J01"
2000	16	29	200	14633	"J01"
2000	17	30	207	14789	"J01"
2000	18	31	214	14530	"J01"
2000	19	32	221	14243	"J01"
2000	20	33	228	13992	"J01"
2000	21	34	235	13890	"J01"
2000	22	35	242	13198	"J01"
2000	23	36	249	12325	"J01"
2000	24	37	256	11649	"J01"
2000	25	38	263	10974	"J01"
2000	26	39	270	10484	"J01"
2000	27	40	277	10329	"J01"
2000	28	41	284	10174	"J01"
2001	1	14	95	11313	"J01"
2001	2	15	102	12123	"J01"
2001	3	16	109	12318	"J01"
2001	4	17	116	11914	"J01"
2001	5	18	123	12534	"J01"
2001	6	19	130	13155	"J01"
2001	7	20	137	13723	"J01"
2001	8	21	144	14100	"J01"
2001	9	22	151	14330	"J01"
2001	10	23	158	14503	"J01"
2001	11	24	165	14684	"J01"
2001	12	25	172	15103	"J01"
2001	13	26	179	15381	"J01"
2001	14	27	186	15288	"J01"
2001	15	28	193	15144	"J01"
2001	16	29	200	14935	"J01"
2001	17	30	207	14668	"J01"
2001	18	31	214	14683	"J01"
2001	19	32	221	14710	"J01"
2001	20	33	228	14748	"J01"
2001	21	34	235	14783	"J01"
2001	22	35	242	14704	"J01"
2001	23	36	249	14539	"J01"
2001	24	37	256	14366	"J01"
2001	25	38	263	13991	"J01"
2001	26	39	270	13608	"J01"
2001	27	40	277	13608	"J01"
2001	28	41	284	13608	"J01"
2002	1	14	95	10924	"J01"
2002	2	15	102	11145	"J01"
2002	3	16	109	11373	"J01"
2002	4	17	116	11501	"J01"
2002	5	18	123	11413	"J01"
2002	6	19	130	11308	"J01"
2002	7	20	137	11231	"J01"
2002	8	21	144	11507	"J01"
2002	9	22	151	11782	"J01"
2002	10	23	158	12246	"J01"
2002	11	24	165	13079	"J01"
2002	12	25	172	13751	"J01"
2002	13	26	179	14228	"J01"
2002	14	27	186	14600	"J01"
2002	15	28	193	14972	"J01"
2002	16	29	200	15384	"J01"
2002	17	30	207	15898	"J01"
2002	18	31	214	15614	"J01"
2002	19	32	221	15364	"J01"
2002	20	33	228	15338	"J01"
2002	21	34	235	15314	"J01"
2002	22	35	242	15285	"J01"
2002	23	36	249	15252	"J01"
2002	24	37	256	15017	"J01"
2002	25	38	263	14498	"J01"
2002	26	39	270	13747	"J01"
2002	27	40	277	13458	"J01"
2002	28	41	284	13169	"J01"
2003	1	15	102	11195	"J01"
2003	2	16	109	11765	"J01"
2003	3	17	116	12195	"J01"
2003	4	18	123	12549	"J01"
2003	5	19	130	12587	"J01"
2003	6	20	137	12054	"J01"
2003	7	21	144	12729	"J01"
2003	8	22	151	13498	"J01"
2003	9	23	158	14071	"J01"
2003	10	24	165	14436	"J01"
2003	11	25	172	14487	"J01"
2003	12	26	179	14465	"J01"
2003	13	27	186	14444	"J01"
2003	14	28	193	14537	"J01"
2003	15	29	200	14685	"J01"
2003	16	30	207	14796	"J01"
2003	17	31	214	14958	"J01"
2003	18	32	221	15112	"J01"
2003	19	33	228	15288	"J01"
2003	20	34	235	15253	"J01"
2003	21	35	242	15161	"J01"
2003	22	36	249	15069	"J01"
2003	23	37	256	14586	"J01"
2003	24	38	263	13997	"J01"
2003	25	39	270	13408	"J01"
2003	26	40	277	13140	"J01"
2003	27	41	284	12897	"J01"
2003	28	42	291	13019	"J01"
2004	1	15	102	9890	"J01"
2004	2	16	109	10724	"J01"
2004	3	17	116	10518	"J01"
2004	4	18	123	10330	"J01"
2004	5	19	130	10241	"J01"
2004	6	20	137	10195	"J01"
2004	7	21	144	10827	"J01"
2004	8	22	151	11716	"J01"
2004	9	23	158	11897	"J01"
2004	10	24	165	12083	"J01"
2004	11	25	172	12386	"J01"
2004	12	26	179	13101	"J01"
2004	13	27	186	13489	"J01"
2004	14	28	193	13884	"J01"
2004	15	29	200	14452	"J01"
2004	16	30	207	14598	"J01"
2004	17	31	214	14721	"J01"
2004	18	32	221	14827	"J01"
2004	19	33	228	15248	"J01"
2004	20	34	235	15370	"J01"
2004	21	35	242	15170	"J01"
2004	22	36	249	14970	"J01"
2004	23	37	256	14793	"J01"
2004	24	38	263	14610	"J01"
2004	25	39	270	14061	"J01"
2004	26	40	277	13272	"J01"
2004	27	41	284	12303	"J01"
2004	28	42	291	11159	"J01"
2005	1	14	95	10722	"J01"
2005	2	15	102	10866	"J01"
2005	3	16	109	10952	"J01"
2005	4	17	116	11022	"J01"
2005	5	18	123	11092	"J01"
2005	6	19	130	11833	"J01"
2005	7	20	137	12607	"J01"
2005	8	21	144	13362	"J01"
2005	9	22	151	14783	"J01"
2005	10	23	158	15483	"J01"
2005	11	24	165	15461	"J01"
2005	12	25	172	15440	"J01"
2005	13	26	179	15720	"J01"
2005	14	27	186	15996	"J01"
2005	15	28	193	15643	"J01"
2005	16	29	200	15605	"J01"
2005	17	30	207	15655	"J01"
2005	18	31	214	15699	"J01"
2005	19	32	221	15659	"J01"
2005	20	33	228	15597	"J01"
2005	21	34	235	15537	"J01"
2005	22	35	242	15333	"J01"
2005	23	36	249	15100	"J01"
2005	24	37	256	14861	"J01"
2005	25	38	263	14337	"J01"
2005	26	39	270	14081	"J01"
2005	27	40	277	14115	"J01"
2005	28	41	284	14149	"J01"
2006	1	14	95	11494	"J01"
2006	2	15	102	11718	"J01"
2006	3	16	109	11942	"J01"
2006	4	17	116	12175	"J01"
2006	5	18	123	12445	"J01"
2006	6	19	130	12714	"J01"
2006	7	20	137	13069	"J01"
2006	8	21	144	13576	"J01"
2006	9	22	151	14107	"J01"
2006	10	23	158	14566	"J01"
2006	11	24	165	14888	"J01"
2006	12	25	172	15663	"J01"
2006	13	26	179	16063	"J01"
2006	14	27	186	16053	"J01"
2006	15	28	193	16043	"J01"
2006	16	29	200	15792	"J01"
2006	17	30	207	15472	"J01"
2006	18	31	214	15513	"J01"
2006	19	32	221	15559	"J01"
2006	20	33	228	15576	"J01"
2006	21	34	235	15485	"J01"
2006	22	35	242	15104	"J01"
2006	23	36	249	14671	"J01"
2006	24	37	256	14473	"J01"
2006	25	38	263	13711	"J01"
2006	26	39	270	13168	"J01"
2006	27	40	277	13297	"J01"
2006	28	41	284	13427	"J01"
2007	1	14	95	11873	"J01"
2007	2	15	102	12575	"J01"
2007	3	16	109	12979	"J01"
2007	4	17	116	13052	"J01"
2007	5	18	123	13393	"J01"
